IdReview,IdCliente,IdProducto,Fecha,Comentario,Rating
W0056,C033,P005,2025-07-24,"Es lo que esperaba, nada excepcional. OK.",4
W0057,C034,P004,2025-07-02,"Producto recibido, cumple su función. OK.",4
W0058,C005,P005,2025-03-24,Envío tardío y producto dañado. No volvería a comprar.,5
W0059,C006,P013,2025-03-03,Satisface lo básico. OK.,3
W0060,C035,P016,2025-05-16,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0061,C006,P008,2024-10-24,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0062,C011,P015,2025-08-21,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0063,C019,P002,2025-07-01,"Calidad superior, muy contento. Muy recomendable.",2
W0064,C027,P017,2025-06-18,"No funciona como esperaba, decepcionado. No volvería a comprar.",2
W0065,C040,P003,2024-09-29,Satisface lo básico. OK.,2
W0066,C038,P016,2024-10-22,"Calidad superior, muy contento. Muy recomendable.",3
W0067,C017,P015,2025-04-19,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0068,C005,P006,2024-11-17,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0069,C017,P014,2025-06-04,Envío tardío y producto dañado. No volvería a comprar.,4
W0070,C007,P016,2025-03-14,Gran relación calidad-precio. Muy recomendable.,5
W0071,C019,P010,2025-04-26,"Calidad superior, muy contento. Muy recomendable.",1
W0072,C004,P019,2025-04-20,"Entrega correcta, sin comentarios adicionales. OK.",2
W0073,C023,P020,2024-10-31,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0074,C007,P005,2025-04-08,"Producto recibido, cumple su función. OK.",4
W0075,C038,P002,2025-07-29,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0076,C027,P011,2024-12-11,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0077,C033,P017,2025-05-05,"Información suficiente, sin mayor novedad. OK.",4
W0078,C022,P010,2025-08-06,"Entrega correcta, sin comentarios adicionales. OK.",2
W0079,C026,P008,2025-03-10,Satisface lo básico. OK.,1
W0080,C001,P013,2025-01-24,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0081,C038,P009,2025-07-20,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0082,C002,P016,2025-03-30,Pésima atención al cliente. No volvería a comprar.,5
W0083,C005,P008,2024-09-20,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",3
W0084,C008,P014,2025-04-11,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0085,C007,P004,2025-07-06,Gran relación calidad-precio. Muy recomendable.,4
W0086,C024,P015,2025-02-11,Pésima atención al cliente. No volvería a comprar.,5
W0087,C027,P005,2024-11-02,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0088,C003,P009,2025-01-29,"No funciona como esperaba, decepcionado. No volvería a comprar.",4
W0089,C024,P008,2024-12-09,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0090,C026,P002,2025-01-24,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0091,C039,P007,2025-03-27,"Producto recibido, cumple su función. OK.",2
W0092,C037,P005,2025-05-30,Gran relación calidad-precio. Muy recomendable.,5
W0093,C015,P007,2024-11-12,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0094,C010,P009,2025-05-08,Satisface lo básico. OK.,2
W0095,C002,P004,2025-05-15,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0096,C002,P011,2025-07-11,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0097,C008,P017,2025-01-27,"Entrega correcta, sin comentarios adicionales. OK.",3
W0098,C038,P017,2025-05-23,Gran relación calidad-precio. Muy recomendable.,5
W0099,C034,P002,2025-08-13,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0100,C028,P013,2024-09-14,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0101,C006,P003,2025-08-11,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0102,C040,P009,2024-09-14,Pésima atención al cliente. No volvería a comprar.,3
W0103,C039,P013,2024-12-29,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0104,C007,P014,2024-10-13,"Producto recibido, cumple su función. OK.",5
W0105,C028,P007,2025-02-14,"No funciona como esperaba, decepcionado. No volvería a comprar.",3
W0106,C026,P015,2025-04-06,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0107,C017,P011,2024-09-27,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",4
W0108,C006,P003,2025-02-04,"Producto recibido, cumple su función. OK.",1
W0109,C009,P012,2024-11-30,Pésima atención al cliente. No volvería a comprar.,5
W0110,C008,P011,2025-08-18,"Calidad superior, muy contento. Muy recomendable.",3
W0111,C020,P020,2024-12-28,Gran relación calidad-precio. Muy recomendable.,2
W0112,C031,P005,2025-03-18,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0113,C008,P012,2025-05-21,Satisface lo básico. OK.,4
W0114,C040,P018,2025-08-31,Pésima atención al cliente. No volvería a comprar.,5
W0115,C002,P009,2025-03-24,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0116,C012,P001,2024-10-12,Satisface lo básico. OK.,4
W0117,C010,P003,2025-07-29,"Producto recibido, cumple su función. OK.",5
W0118,C025,P007,2025-06-25,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0119,C021,P010,2024-11-12,Satisface lo básico. OK.,1
W0120,C010,P002,2025-08-19,Gran relación calidad-precio. Muy recomendable.,1
W0121,C029,P009,2024-11-07,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0122,C018,P014,2025-07-17,Gran relación calidad-precio. Muy recomendable.,3
W0123,C008,P014,2025-01-07,Gran relación calidad-precio. Muy recomendable.,5
W0124,C003,P010,2025-08-16,Gran relación calidad-precio. Muy recomendable.,1
W0125,C020,P007,2025-05-06,"Información suficiente, sin mayor novedad. OK.",3
W0126,C008,P011,2025-06-16,"Calidad superior, muy contento. Muy recomendable.",2
W0127,C035,P013,2024-12-01,Satisface lo básico. OK.,3
W0128,C026,P003,2025-02-02,"Producto recibido, cumple su función. OK.",1
W0129,C005,P015,2025-02-06,Satisface lo básico. OK.,5
W0130,C027,P013,2025-09-03,"Calidad superior, muy contento. Muy recomendable.",3
W0131,C040,P006,2025-07-30,Envío tardío y producto dañado. No volvería a comprar.,4
W0132,C016,P004,2024-12-19,"Calidad superior, muy contento. Muy recomendable.",1
W0133,C020,P013,2025-03-27,"Información suficiente, sin mayor novedad. OK.",2
W0134,C033,P003,2024-12-26,Pésima atención al cliente. No volvería a comprar.,2
W0135,C023,P012,2025-05-16,"Información suficiente, sin mayor novedad. OK.",1
W0136,C017,P005,2025-06-27,Gran relación calidad-precio. Muy recomendable.,1
W0137,C032,P006,2024-11-21,Pésima atención al cliente. No volvería a comprar.,4
W0138,C040,P019,2025-06-28,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0139,C031,P003,2025-04-26,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0140,C023,P002,2025-01-20,Envío tardío y producto dañado. No volvería a comprar.,4
W0141,C004,P002,2025-08-05,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0142,C039,P020,2024-11-20,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0143,C029,P002,2024-10-15,Satisface lo básico. OK.,2
W0144,C039,P011,2025-08-13,"No funciona como esperaba, decepcionado. No volvería a comprar.",4
W0145,C022,P004,2024-12-29,"Producto recibido, cumple su función. OK.",2
W0146,C016,P002,2024-12-19,"Entrega correcta, sin comentarios adicionales. OK.",5
W0147,C011,P020,2025-02-27,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0148,C039,P011,2025-08-11,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0149,C036,P004,2025-05-07,Envío tardío y producto dañado. No volvería a comprar.,5
W0150,C022,P005,2025-03-18,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0151,C009,P013,2025-04-08,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0152,C022,P013,2025-07-28,Satisface lo básico. OK.,4
W0153,C024,P017,2025-06-13,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0154,C032,P011,2025-06-26,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0155,C007,P010,2024-12-18,Pésima atención al cliente. No volvería a comprar.,1
W0156,C040,P011,2025-06-27,"Calidad superior, muy contento. Muy recomendable.",2
W0157,C040,P006,2025-02-01,"Información suficiente, sin mayor novedad. OK.",1
W0158,C024,P014,2025-01-29,"No funciona como esperaba, decepcionado. No volvería a comprar.",5
W0159,C029,P010,2025-04-08,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",4
W0160,C024,P007,2025-01-31,Pésima atención al cliente. No volvería a comprar.,4
W0161,C025,P010,2025-06-23,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",2
W0162,C009,P020,2024-10-20,"Producto recibido, cumple su función. OK.",4
W0163,C036,P012,2025-07-12,Satisface lo básico. OK.,3
W0164,C011,P003,2025-06-30,Gran relación calidad-precio. Muy recomendable.,4
W0165,C015,P003,2025-08-31,"Es lo que esperaba, nada excepcional. OK.",4
W0166,C026,P002,2025-02-28,"No funciona como esperaba, decepcionado. No volvería a comprar.",1
W0167,C015,P012,2024-09-13,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0168,C009,P005,2024-09-22,"Calidad superior, muy contento. Muy recomendable.",2
W0169,C029,P016,2025-09-04,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0170,C010,P007,2024-12-17,Pésima atención al cliente. No volvería a comprar.,4
W0171,C019,P004,2025-08-20,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0172,C040,P014,2025-01-01,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0173,C002,P018,2025-05-13,Pésima atención al cliente. No volvería a comprar.,2
W0174,C028,P010,2025-05-13,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0175,C012,P014,2024-12-19,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0176,C034,P003,2024-12-04,Pésima atención al cliente. No volvería a comprar.,1
W0177,C031,P013,2025-03-06,"Calidad superior, muy contento. Muy recomendable.",3
W0178,C023,P001,2025-05-13,"Es lo que esperaba, nada excepcional. OK.",1
W0179,C022,P019,2024-12-08,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0180,C030,P006,2024-10-25,"Entrega correcta, sin comentarios adicionales. OK.",2
W0181,C005,P005,2025-08-26,"Entrega correcta, sin comentarios adicionales. OK.",3
W0182,C003,P007,2025-04-05,"Producto recibido, cumple su función. OK.",3
W0183,C026,P017,2025-01-14,Satisface lo básico. OK.,3
W0184,C013,P002,2024-10-13,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0185,C008,P009,2025-02-21,"Entrega correcta, sin comentarios adicionales. OK.",4
W0186,C022,P013,2024-09-24,"Entrega correcta, sin comentarios adicionales. OK.",4
W0187,C034,P012,2025-02-08,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0188,C039,P014,2024-12-08,"Información suficiente, sin mayor novedad. OK.",3
W0189,C007,P011,2025-04-10,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0190,C028,P020,2025-03-18,"Calidad superior, muy contento. Muy recomendable.",4
W0191,C023,P002,2025-04-26,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0192,C026,P003,2025-08-29,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0193,C029,P020,2025-05-16,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0194,C025,P012,2024-11-08,"Producto recibido, cumple su función. OK.",2
W0195,C024,P015,2024-11-24,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0196,C024,P017,2025-05-09,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0197,C012,P001,2024-11-30,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0198,C017,P009,2024-11-04,"Información suficiente, sin mayor novedad. OK.",3
W0199,C013,P016,2025-01-25,"Me encanta este producto, excelente calidad. Muy recomendable.",2
W0200,C006,P015,2024-10-07,"Es lo que esperaba, nada excepcional. OK.",3
W0201,C015,P002,2024-01-13,Envío tardío y producto dañado. No volvería a comprar.,4
W0202,C020,P010,2025-08-13,Gran relación calidad-precio. Muy recomendable.,1
W0203,C009,P020,2023-07-12,"Producto recibido, cumple su función. OK.",4
W0204,C019,P002,2023-01-11,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0205,C036,P017,2024-06-07,"Información suficiente, sin mayor novedad. OK.",4
W0206,C027,P012,2025-05-11,"Información suficiente, sin mayor novedad. OK.",1
W0207,C017,P015,2023-04-29,Gran relación calidad-precio. Muy recomendable.,5
W0208,C036,P018,2024-11-27,Pésima atención al cliente. No volvería a comprar.,2
W0209,C003,P007,2024-08-20,"Producto recibido, cumple su función. OK.",3
W0210,C019,P005,2023-01-14,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0211,C037,P014,2023-11-07,Gran relación calidad-precio. Muy recomendable.,5
W0212,C019,P017,2024-05-26,"Información suficiente, sin mayor novedad. OK.",4
W0213,C024,P020,2024-12-13,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0214,C004,P002,2024-06-20,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0215,C012,P007,2024-11-01,Pésima atención al cliente. No volvería a comprar.,4
W0216,C003,P006,2024-05-29,"Entrega correcta, sin comentarios adicionales. OK.",2
W0217,C003,P005,2025-02-08,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0218,C036,P007,2023-04-25,Pésima atención al cliente. No volvería a comprar.,4
W0219,C008,P003,2023-02-19,Gran relación calidad-precio. Muy recomendable.,4
W0220,C006,P002,2024-12-01,Gran relación calidad-precio. Muy recomendable.,1
W0221,C025,P002,2025-04-10,"Producto recibido, cumple su función. OK.",2
W0222,C032,P013,2024-05-26,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0223,C028,P006,2023-08-30,Pésima atención al cliente. No volvería a comprar.,4
W0224,C031,P014,2025-09-26,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0225,C020,P020,2025-02-23,"Calidad superior, muy contento. Muy recomendable.",4
W0226,C032,P014,2025-01-03,"Información suficiente, sin mayor novedad. OK.",5
W0227,C016,P020,2024-02-16,"Entrega correcta, sin comentarios adicionales. OK.",5
W0228,C005,P008,2024-02-18,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",3
W0229,C001,P020,2025-04-18,"Calidad superior, muy contento. Muy recomendable.",4
W0230,C029,P016,2024-09-18,"Información suficiente, sin mayor novedad. OK.",5
W0231,C011,P013,2023-12-02,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0232,C006,P010,2023-04-16,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0233,C004,P016,2025-03-14,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0234,C027,P006,2024-01-28,"Entrega correcta, sin comentarios adicionales. OK.",2
W0235,C037,P006,2025-08-11,"Entrega correcta, sin comentarios adicionales. OK.",2
W0236,C013,P009,2025-10-30,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0237,C032,P015,2024-07-22,Gran relación calidad-precio. Muy recomendable.,4
W0238,C013,P017,2025-10-05,"Calidad superior, muy contento. Muy recomendable.",5
W0239,C025,P012,2025-07-17,"Producto recibido, cumple su función. OK.",2
W0240,C032,P011,2025-05-03,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0241,C003,P018,2025-07-21,Envío tardío y producto dañado. No volvería a comprar.,3
W0242,C009,P012,2025-07-29,Pésima atención al cliente. No volvería a comprar.,5
W0243,C021,P010,2025-11-21,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",2
W0244,C019,P014,2024-05-10,"Muy mala calidad, se rompió rápido. No volvería a comprar.",5
W0245,C018,P011,2023-08-09,Producto llegó rápido y funciona perfecto. Muy recomendable.,3
W0246,C007,P007,2023-03-20,Pésima atención al cliente. No volvería a comprar.,4
W0247,C018,P005,2024-01-10,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0248,C038,P017,2023-03-27,Gran relación calidad-precio. Muy recomendable.,5
W0249,C038,P016,2023-09-13,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0250,C013,P003,2025-05-29,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0251,C005,P002,2023-06-06,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0252,C005,P011,2025-05-08,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0253,C025,P006,2024-06-15,Pésima atención al cliente. No volvería a comprar.,4
W0254,C004,P008,2025-06-13,"Me encanta este producto, excelente calidad. Muy recomendable.",5
W0255,C040,P011,2025-08-15,"Calidad superior, muy contento. Muy recomendable.",2
W0256,C039,P004,2025-02-18,"Producto recibido, cumple su función. OK.",2
W0257,C020,P016,2025-09-19,Producto llegó rápido y funciona perfecto. Muy recomendable.,4
W0258,C024,P017,2024-03-29,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0259,C040,P009,2025-06-12,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0260,C021,P013,2023-09-01,"Entrega correcta, sin comentarios adicionales. OK.",4
W0261,C027,P020,2025-03-14,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0262,C005,P005,2024-05-24,Envío tardío y producto dañado. No volvería a comprar.,5
W0263,C031,P003,2024-04-11,"Es lo que esperaba, nada excepcional. OK.",4
W0264,C030,P010,2025-02-10,"Es lo que esperaba, nada excepcional. OK.",5
W0265,C036,P012,2024-03-21,Satisface lo básico. OK.,3
W0266,C019,P010,2023-05-10,"Calidad superior, muy contento. Muy recomendable.",1
W0267,C030,P008,2024-08-19,"Es lo que esperaba, nada excepcional. OK.",5
W0268,C019,P016,2023-07-26,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0269,C038,P017,2023-04-28,Gran relación calidad-precio. Muy recomendable.,5
W0270,C012,P019,2025-08-19,"Entrega correcta, sin comentarios adicionales. OK.",2
W0271,C027,P005,2023-04-23,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",3
W0272,C024,P012,2025-06-27,"Información suficiente, sin mayor novedad. OK.",1
W0273,C017,P009,2023-06-23,Satisface lo básico. OK.,2
W0274,C015,P008,2025-10-21,Satisface lo básico. OK.,1
W0275,C029,P018,2025-09-06,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0276,C023,P009,2023-06-12,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0277,C037,P009,2023-06-19,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0278,C015,P013,2023-12-26,Satisface lo básico. OK.,3
W0279,C020,P017,2024-05-01,"Entrega correcta, sin comentarios adicionales. OK.",3
W0280,C039,P017,2025-05-01,"Entrega correcta, sin comentarios adicionales. OK.",3
W0281,C010,P017,2023-08-08,"Entrega correcta, sin comentarios adicionales. OK.",3
W0282,C001,P003,2025-05-04,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0283,C025,P011,2025-08-31,"Calidad superior, muy contento. Muy recomendable.",3
W0284,C005,P005,2023-12-03,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",4
W0285,C026,P008,2024-02-20,Satisface lo básico. OK.,1
W0286,C008,P009,2024-10-15,"Entrega correcta, sin comentarios adicionales. OK.",4
W0287,C018,P009,2025-07-11,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0288,C039,P007,2025-07-16,"Producto recibido, cumple su función. OK.",2
W0289,C035,P003,2025-02-01,"Es lo que esperaba, nada excepcional. OK.",4
W0290,C037,P005,2023-01-05,"Calidad superior, muy contento. Muy recomendable.",2
W0291,C016,P003,2025-12-03,"Producto recibido, cumple su función. OK.",5
W0292,C005,P004,2023-08-29,"Calidad superior, muy contento. Muy recomendable.",1
W0293,C006,P008,2023-07-24,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0294,C026,P002,2025-08-29,"Me encanta este producto, excelente calidad. Muy recomendable.",1
W0295,C026,P015,2024-10-14,"Me encanta este producto, excelente calidad. Muy recomendable.",4
W0296,C013,P004,2024-09-25,Producto llegó rápido y funciona perfecto. Muy recomendable.,5
W0297,C021,P003,2025-01-15,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",2
W0298,C001,P013,2024-12-03,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0299,C021,P009,2024-08-07,"Producto recibido, cumple su función. OK.",4
W0300,C017,P003,2024-03-18,"Producto recibido, cumple su función. OK.",1
W0301,C001,P009,2024-08-01,"Muy satisfecho con la compra, lo recomiendo. Muy recomendable.",1
W0302,C021,P003,2023-05-03,"Producto recibido, cumple su función. OK.",1
W0303,C033,P010,2024-05-20,"Entrega correcta, sin comentarios adicionales. OK.",2
W0304,C011,P003,2025-08-24,Satisface lo básico. OK.,2
W0305,C035,P006,2024-11-07,"Información suficiente, sin mayor novedad. OK.",1
W0306,C031,P004,2024-07-23,Gran relación calidad-precio. Muy recomendable.,4
W0307,C027,P008,2025-08-31,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",1
W0308,C034,P012,2025-05-27,Satisface lo básico. OK.,4
W0309,C031,P005,2023-03-13,"Me encanta este producto, excelente calidad. Muy recomendable.",3
W0310,C033,P003,2024-06-15,Pésima atención al cliente. No volvería a comprar.,2
W0311,C004,P002,2025-06-12,Producto llegó rápido y funciona perfecto. Muy recomendable.,1
W0312,C034,P004,2025-08-04,"Producto recibido, cumple su función. OK.",2
W0313,C039,P004,2024-03-07,Envío tardío y producto dañado. No volvería a comprar.,5
W0314,C010,P014,2024-05-28,Gran relación calidad-precio. Muy recomendable.,5
W0315,C001,P015,2025-11-03,Pésima atención al cliente. No volvería a comprar.,5
W0316,C001,P020,2023-02-12,Gran relación calidad-precio. Muy recomendable.,2
W0317,C010,P009,2024-04-14,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0318,C033,P019,2024-11-15,"Calidad superior, muy contento. Muy recomendable.",3
W0319,C016,P010,2024-01-05,"Es lo que esperaba, nada excepcional. OK.",5
W0320,C031,P012,2024-06-07,Envío tardío y producto dañado. No volvería a comprar.,5
W0321,C034,P009,2025-03-20,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0322,C034,P003,2024-01-14,Pésima atención al cliente. No volvería a comprar.,1
W0323,C035,P017,2023-02-06,Producto llegó rápido y funciona perfecto. Muy recomendable.,2
W0324,C033,P009,2023-07-05,"No cumple con lo anunciado, insatisfecho. No volvería a comprar.",5
W0325,C015,P003,2024-02-10,"Es lo que esperaba, nada excepcional. OK.",4
W0326,C001,P016,2023-04-09,"Muy mala calidad, se rompió rápido. No volvería a comprar.",3
W0327,C027,P006,2023-05-08,"Calidad superior, muy contento. Muy recomendable.",5
W0328,C029,P013,2025-08-01,Satisface lo básico. OK.,4
