IdComment,IdCliente,IdProducto,Fuente,Fecha,Comentario
T0047,C035,P016,Instagram,2025-08-10,Gran relación calidad-precio
T0048,C038,P005,Instagram,2025-07-08,"Me encanta este producto, excelente calidad"
T0049,,P008,Facebook,2025-07-15,"Calidad superior, muy contento"
T0050,,P004,Twitter,2025-07-23,Gran relación calidad-precio
T0051,C013,P016,Facebook,2025-08-08,"Es lo que esperaba, nada excepcional"
T0052,,P002,Twitter,2025-07-07,Gran relación calidad-precio
T0053,,P002,Twitter,2025-07-25,"Muy satisfecho con la compra, lo recomiendo"
T0054,C019,P016,Facebook,2025-07-03,"Producto recibido, cumple su función"
T0055,C022,P020,Instagram,2025-07-12,Gran relación calidad-precio
T0056,,P005,Twitter,2025-08-02,"No funciona como esperaba, decepcionado"
T0057,,P006,Twitter,2025-08-01,"No funciona como esperaba, decepcionado"
T0058,C013,P010,Facebook,2025-07-10,"Calidad superior, muy contento"
T0059,C007,P011,Facebook,2025-08-03,"Muy satisfecho con la compra, lo recomiendo"
T0060,C025,P008,Facebook,2025-08-06,Producto llegó rápido y funciona perfecto
T0061,,P019,Instagram,2025-08-14,Producto llegó rápido y funciona perfecto
T0062,,P002,Facebook,2025-06-18,"No funciona como esperaba, decepcionado"
T0063,,P017,Instagram,2025-08-29,"Es lo que esperaba, nada excepcional"
T0064,C015,P010,Facebook,2025-08-25,"Muy satisfecho con la compra, lo recomiendo"
T0065,,P015,Instagram,2025-07-05,"No cumple con lo anunciado, insatisfecho"
T0066,,P016,Twitter,2025-06-18,"Información suficiente, sin mayor novedad"
T0067,,P020,Instagram,2025-06-15,"Calidad superior, muy contento"
T0068,C037,P012,Instagram,2025-08-19,Gran relación calidad-precio
T0069,C011,P019,Facebook,2025-08-30,Gran relación calidad-precio
T0070,,P007,Facebook,2025-09-06,Pésima atención al cliente
T0071,C027,P015,Instagram,2025-07-16,"Muy mala calidad, se rompió rápido"
T0072,,P010,Instagram,2025-08-17,"Me encanta este producto, excelente calidad"
T0073,C028,P019,Instagram,2025-09-06,"Me encanta este producto, excelente calidad"
T0074,,P003,Facebook,2025-08-21,Envío tardío y producto dañado
T0075,,P005,Facebook,2025-07-27,"Entrega correcta, sin comentarios adicionales"
T0076,,P015,Twitter,2025-06-18,"Entrega correcta, sin comentarios adicionales"
T0077,C023,P018,Facebook,2025-07-08,Gran relación calidad-precio
T0078,,P005,Twitter,2025-08-06,"Me encanta este producto, excelente calidad"
T0079,,P015,Facebook,2025-08-15,Pésima atención al cliente
T0080,C010,P008,Twitter,2025-06-21,"Me encanta este producto, excelente calidad"
T0081,,P014,Twitter,2025-08-18,"Producto recibido, cumple su función"
T0082,C003,P003,Twitter,2025-09-08,"Muy mala calidad, se rompió rápido"
T0083,C035,P013,Twitter,2025-07-11,"Me encanta este producto, excelente calidad"
T0084,C037,P010,Instagram,2025-08-03,Gran relación calidad-precio
T0085,C010,P008,Twitter,2025-07-23,Satisface lo básico
T0086,C036,P010,Instagram,2025-06-19,"Información suficiente, sin mayor novedad"
T0087,C004,P014,Instagram,2025-08-04,"Entrega correcta, sin comentarios adicionales"
T0088,C020,P014,Facebook,2025-08-14,Gran relación calidad-precio
T0089,C010,P008,Instagram,2025-07-23,"Producto recibido, cumple su función"
T0090,C009,P014,Twitter,2025-08-02,Producto llegó rápido y funciona perfecto
T0091,,P003,Instagram,2025-08-20,"Producto recibido, cumple su función"
T0092,C039,P002,Twitter,2025-06-30,"Muy mala calidad, se rompió rápido"
T0093,C014,P018,Facebook,2025-09-12,"Es lo que esperaba, nada excepcional"
T0094,,P007,Instagram,2025-07-14,"Producto recibido, cumple su función"
T0095,,P008,Twitter,2025-07-05,"Entrega correcta, sin comentarios adicionales"
T0096,,P011,Instagram,2025-07-30,Gran relación calidad-precio
T0097,C033,P010,Twitter,2025-07-15,"Entrega correcta, sin comentarios adicionales"
T0098,,P011,Twitter,2025-07-03,"Calidad superior, muy contento"
T0099,,P008,Instagram,2025-07-01,Gran relación calidad-precio
T0100,C013,P014,Instagram,2025-08-13,"Calidad superior, muy contento"
T0101,C022,P016,Instagram,2025-06-23,"Calidad superior, muy contento"
T0102,C023,P016,Facebook,2025-08-21,Gran relación calidad-precio
T0103,,P018,Twitter,2025-09-04,Satisface lo básico
T0104,,P002,Twitter,2025-06-15,"No funciona como esperaba, decepcionado"
T0105,C033,P005,Instagram,2025-06-24,"Muy mala calidad, se rompió rápido"
T0106,,P020,Twitter,2025-07-07,"Muy mala calidad, se rompió rápido"
T0107,C002,P018,Instagram,2025-08-08,Envío tardío y producto dañado
T0108,C028,P001,Twitter,2025-09-01,"Información suficiente, sin mayor novedad"
T0109,C013,P017,Facebook,2025-08-10,Envío tardío y producto dañado
T0110,C026,P013,Instagram,2025-08-16,"No funciona como esperaba, decepcionado"
T0111,,P010,Twitter,2025-07-24,"Producto recibido, cumple su función"
T0112,C031,P013,Instagram,2025-08-23,"Me encanta este producto, excelente calidad"
T0113,C028,P003,Instagram,2025-09-01,Envío tardío y producto dañado
T0114,,P017,Facebook,2025-08-10,Gran relación calidad-precio
T0115,,P002,Instagram,2025-07-03,Envío tardío y producto dañado
T0116,C021,P002,Instagram,2025-08-26,"Muy satisfecho con la compra, lo recomiendo"
T0117,,P013,Twitter,2025-07-03,Gran relación calidad-precio
T0118,,P013,Instagram,2025-08-27,"No cumple con lo anunciado, insatisfecho"
T0119,C023,P003,Twitter,2025-09-04,"Calidad superior, muy contento"
T0120,,P011,Facebook,2025-08-03,Pésima atención al cliente
T0121,,P001,Facebook,2025-08-15,"Entrega correcta, sin comentarios adicionales"
T0122,C025,P012,Instagram,2025-07-27,Pésima atención al cliente
T0123,,P003,Instagram,2025-09-04,"Muy satisfecho con la compra, lo recomiendo"
T0124,C025,P003,Instagram,2025-07-26,"Información suficiente, sin mayor novedad"
T0125,C006,P011,Facebook,2025-07-29,Producto llegó rápido y funciona perfecto
T0126,C006,P009,Instagram,2025-07-04,"Calidad superior, muy contento"
T0127,C002,P017,Twitter,2025-06-29,Gran relación calidad-precio
T0128,,P020,Facebook,2025-07-23,"Producto recibido, cumple su función"
T0129,,P013,Twitter,2025-07-02,Satisface lo básico
T0130,C025,P017,Facebook,2025-08-10,Producto llegó rápido y funciona perfecto
T0131,C011,P016,Facebook,2025-07-14,"No cumple con lo anunciado, insatisfecho"
T0132,C016,P003,Instagram,2025-06-27,"Entrega correcta, sin comentarios adicionales"
T0133,C009,P007,Facebook,2025-06-26,"Calidad superior, muy contento"
T0134,,P013,Facebook,2025-06-22,Producto llegó rápido y funciona perfecto
T0135,C021,P020,Facebook,2025-08-04,"No funciona como esperaba, decepcionado"
T0136,,P006,Instagram,2025-06-17,"Es lo que esperaba, nada excepcional"
T0137,,P016,Facebook,2025-08-09,"Es lo que esperaba, nada excepcional"
T0138,C037,P013,Twitter,2025-06-18,Gran relación calidad-precio
T0139,C030,P018,Facebook,2025-08-07,"Información suficiente, sin mayor novedad"
T0140,,P003,Instagram,2025-07-12,"Entrega correcta, sin comentarios adicionales"
T0141,,P005,Instagram,2025-07-21,"Muy satisfecho con la compra, lo recomiendo"
T0142,C039,P013,Instagram,2025-07-11,"No cumple con lo anunciado, insatisfecho"
T0143,C024,P014,Instagram,2025-06-24,Satisface lo básico
T0144,C016,P003,Twitter,2025-06-23,Envío tardío y producto dañado
T0145,C026,P020,Facebook,2025-08-31,"Es lo que esperaba, nada excepcional"
T0146,C015,P001,Instagram,2025-07-01,Pésima atención al cliente
T0147,C024,P019,Instagram,2025-07-11,Gran relación calidad-precio
T0148,C002,P005,Facebook,2025-09-03,Envío tardío y producto dañado
T0149,,P004,Facebook,2025-08-01,"Es lo que esperaba, nada excepcional"
T0150,,P015,Facebook,2025-09-01,Envío tardío y producto dañado
T0151,,P015,Facebook,2025-09-08,"Muy mala calidad, se rompió rápido"
T0152,C022,P004,Instagram,2025-08-13,"No funciona como esperaba, decepcionado"
T0153,C011,P017,Facebook,2025-08-15,"Calidad superior, muy contento"
T0154,,P013,Facebook,2025-09-10,"Calidad superior, muy contento"
T0155,,P020,Facebook,2025-09-13,"No cumple con lo anunciado, insatisfecho"
T0156,C005,P007,Twitter,2025-07-29,Pésima atención al cliente
T0157,C008,P011,Instagram,2025-06-24,"Calidad superior, muy contento"
T0158,C040,P011,Facebook,2025-07-30,"Me encanta este producto, excelente calidad"
T0159,,P015,Instagram,2025-06-30,"Es lo que esperaba, nada excepcional"
T0160,,P003,Facebook,2025-08-30,"Muy satisfecho con la compra, lo recomiendo"
T0161,C010,P006,Instagram,2025-08-27,"No cumple con lo anunciado, insatisfecho"
T0162,C012,P019,Instagram,2025-06-23,Pésima atención al cliente
T0163,C032,P006,Facebook,2025-07-18,"Muy satisfecho con la compra, lo recomiendo"
T0164,C023,P020,Twitter,2025-08-20,"Entrega correcta, sin comentarios adicionales"
T0165,,P013,Facebook,2025-06-18,"No cumple con lo anunciado, insatisfecho"
T0166,C029,P016,Instagram,2025-09-10,"Muy mala calidad, se rompió rápido"
T0167,C018,P008,Twitter,2025-07-17,Producto llegó rápido y funciona perfecto
T0168,,P019,Instagram,2025-08-30,Satisface lo básico
T0169,C035,P019,Instagram,2025-09-08,"Es lo que esperaba, nada excepcional"
T0170,C028,P015,Facebook,2025-09-09,"Muy satisfecho con la compra, lo recomiendo"
T0171,C006,P015,Twitter,2025-08-18,"Muy mala calidad, se rompió rápido"
T0172,,P019,Instagram,2025-07-21,Satisface lo básico
T0173,,P006,Twitter,2025-07-03,"Información suficiente, sin mayor novedad"
T0174,C039,P012,Instagram,2025-08-07,Envío tardío y producto dañado
T0175,C033,P010,Twitter,2025-07-23,"Producto recibido, cumple su función"
T0176,,P002,Instagram,2025-08-28,"Información suficiente, sin mayor novedad"
T0177,C021,P008,Facebook,2025-08-26,"Entrega correcta, sin comentarios adicionales"
T0178,,P019,Facebook,2025-09-04,"No cumple con lo anunciado, insatisfecho"
T0179,C018,P003,Facebook,2025-07-13,Envío tardío y producto dañado
T0180,C006,P011,Instagram,2025-06-20,"Entrega correcta, sin comentarios adicionales"
T0181,,P012,Twitter,2025-07-21,"Entrega correcta, sin comentarios adicionales"
T0182,C021,P007,Instagram,2025-07-02,"Es lo que esperaba, nada excepcional"
T0183,C032,P005,Twitter,2025-09-01,"Producto recibido, cumple su función"
T0184,C011,P015,Facebook,2025-08-19,"Muy mala calidad, se rompió rápido"
T0185,,P005,Twitter,2025-06-22,Producto llegó rápido y funciona perfecto
T0186,C024,P012,Twitter,2025-07-25,"No funciona como esperaba, decepcionado"
T0187,,P010,Instagram,2025-09-02,"Entrega correcta, sin comentarios adicionales"
T0188,C031,P004,Twitter,2025-07-09,Gran relación calidad-precio
T0189,C022,P015,Instagram,2025-08-28,"Entrega correcta, sin comentarios adicionales"
T0190,C025,P016,Twitter,2025-08-04,"Me encanta este producto, excelente calidad"
T0191,,P012,Instagram,2025-06-19,"Muy satisfecho con la compra, lo recomiendo"
T0192,C037,P005,Facebook,2025-07-31,"Muy satisfecho con la compra, lo recomiendo"
T0193,,P007,Instagram,2025-06-18,"Calidad superior, muy contento"
T0194,,P015,Twitter,2025-08-29,"Me encanta este producto, excelente calidad"
T0195,,P019,Facebook,2025-08-27,"Calidad superior, muy contento"
T0196,C006,P008,Instagram,2025-06-28,Gran relación calidad-precio
T0197,,P010,Twitter,2025-07-09,Envío tardío y producto dañado
T0198,C026,P020,Twitter,2025-07-12,"Me encanta este producto, excelente calidad"
T0199,C032,P013,Instagram,2025-09-12,"Muy mala calidad, se rompió rápido"
T0200,,P012,Facebook,2025-07-29,Gran relación calidad-precio
T0201,C011,P015,Facebook,2024-03-16,"Muy mala calidad, se rompió rápido"
T0202,C037,P011,Instagram,2023-02-26,"Entrega correcta, sin comentarios adicionales"
T0203,C020,P008,Facebook,2023-05-05,"Entrega correcta, sin comentarios adicionales"
T0204,,P008,Instagram,2024-04-03,Gran relación calidad-precio
T0205,,P007,Facebook,2023-10-10,Pésima atención al cliente
T0206,,P017,Instagram,2025-03-21,"Es lo que esperaba, nada excepcional"
T0207,C009,P013,Instagram,2025-07-08,Gran relación calidad-precio
T0208,C010,P008,Twitter,2025-03-05,"Me encanta este producto, excelente calidad"
T0209,C023,P011,Facebook,2025-05-31,Pésima atención al cliente
T0210,C031,P016,Facebook,2024-08-09,"No cumple con lo anunciado, insatisfecho"
T0211,C010,P005,Instagram,2024-12-26,"Muy mala calidad, se rompió rápido"
T0212,C029,P017,Facebook,2025-09-04,Gran relación calidad-precio
T0213,C009,P016,Instagram,2024-09-11,Envío tardío y producto dañado
T0214,C020,P020,Instagram,2023-02-05,Gran relación calidad-precio
T0215,C022,P020,Instagram,2023-05-15,"Calidad superior, muy contento"
T0216,C022,P015,Instagram,2023-09-25,"Entrega correcta, sin comentarios adicionales"
T0217,C018,P009,Instagram,2023-01-14,"Entrega correcta, sin comentarios adicionales"
T0218,,P006,Twitter,2024-06-04,"No funciona como esperaba, decepcionado"
T0219,C031,P013,Facebook,2024-08-05,"No funciona como esperaba, decepcionado"
T0220,,P017,Facebook,2023-11-04,Gran relación calidad-precio
T0221,C026,P017,Instagram,2025-06-22,"Es lo que esperaba, nada excepcional"
T0222,C032,P006,Twitter,2025-03-20,"Información suficiente, sin mayor novedad"
T0223,,P016,Twitter,2024-08-17,"Información suficiente, sin mayor novedad"
T0224,C007,P004,Twitter,2023-10-28,"Entrega correcta, sin comentarios adicionales"
T0225,C006,P011,Instagram,2023-03-03,"Entrega correcta, sin comentarios adicionales"
T0226,C020,P017,Facebook,2025-10-27,"Muy mala calidad, se rompió rápido"
T0227,C035,P014,Twitter,2023-08-02,"Producto recibido, cumple su función"
T0228,C013,P005,Facebook,2023-10-22,"Entrega correcta, sin comentarios adicionales"
T0229,C017,P012,Twitter,2025-08-19,"Entrega correcta, sin comentarios adicionales"
T0230,C007,P011,Facebook,2024-08-05,"Muy satisfecho con la compra, lo recomiendo"
T0231,C013,P017,Facebook,2023-05-02,Envío tardío y producto dañado
T0232,C033,P011,Instagram,2023-12-09,"Calidad superior, muy contento"
T0233,C006,P011,Instagram,2023-01-06,"Entrega correcta, sin comentarios adicionales"
T0234,C009,P015,Instagram,2023-11-20,"Es lo que esperaba, nada excepcional"
T0235,C010,P018,Facebook,2024-04-22,Gran relación calidad-precio
T0236,C025,P004,Twitter,2025-12-05,"Entrega correcta, sin comentarios adicionales"
T0237,,P008,Instagram,2024-05-01,Gran relación calidad-precio
T0238,C005,P008,Twitter,2025-07-05,Satisface lo básico
T0239,C013,P013,Instagram,2025-04-04,"No cumple con lo anunciado, insatisfecho"
T0240,C035,P013,Twitter,2025-02-14,"Me encanta este producto, excelente calidad"
T0241,C019,P020,Facebook,2023-08-04,"Es lo que esperaba, nada excepcional"
T0242,C016,P003,Instagram,2025-07-29,"Entrega correcta, sin comentarios adicionales"
T0243,C022,P009,Instagram,2024-07-27,"Entrega correcta, sin comentarios adicionales"
T0244,C029,P005,Twitter,2023-08-04,"Muy mala calidad, se rompió rápido"
T0245,C027,P020,Twitter,2023-06-21,"Entrega correcta, sin comentarios adicionales"
T0246,C002,P005,Facebook,2025-10-08,Envío tardío y producto dañado
T0247,C038,P013,Instagram,2024-02-17,"Me encanta este producto, excelente calidad"
T0248,C032,P005,Facebook,2023-03-07,Pésima atención al cliente
T0249,C029,P013,Facebook,2024-05-05,Producto llegó rápido y funciona perfecto
T0250,C006,P011,Facebook,2023-08-03,Producto llegó rápido y funciona perfecto
T0251,C017,P019,Instagram,2025-06-16,Gran relación calidad-precio
T0252,C030,P012,Instagram,2023-12-22,"Muy satisfecho con la compra, lo recomiendo"
T0253,,P015,Twitter,2023-05-10,Producto llegó rápido y funciona perfecto
T0254,C009,P010,Instagram,2025-11-01,"Me encanta este producto, excelente calidad"
T0255,C012,P018,Facebook,2023-08-23,"Información suficiente, sin mayor novedad"
T0256,C028,P010,Twitter,2024-02-14,"Entrega correcta, sin comentarios adicionales"
T0257,C004,P017,Twitter,2024-04-06,Gran relación calidad-precio
T0258,C039,P003,Instagram,2023-01-14,"Producto recibido, cumple su función"
T0259,C024,P019,Instagram,2024-10-29,Gran relación calidad-precio
T0260,C020,P002,Instagram,2025-07-25,"Me encanta este producto, excelente calidad"
T0261,C035,P001,Instagram,2025-10-20,Pésima atención al cliente
T0262,C027,P012,Instagram,2024-11-18,Pésima atención al cliente
T0263,C032,P004,Facebook,2023-02-17,"Es lo que esperaba, nada excepcional"
T0264,,P012,Twitter,2025-02-20,"Entrega correcta, sin comentarios adicionales"
T0265,C031,P016,Facebook,2024-08-07,"Es lo que esperaba, nada excepcional"
T0266,C031,P014,Instagram,2025-06-07,"Entrega correcta, sin comentarios adicionales"
T0267,C002,P017,Twitter,2024-11-26,Gran relación calidad-precio
T0268,C022,P017,Facebook,2024-05-14,Envío tardío y producto dañado
T0269,C003,P003,Twitter,2023-04-02,"Muy mala calidad, se rompió rápido"
T0270,C018,P015,Twitter,2025-06-21,"Muy mala calidad, se rompió rápido"
T0271,,P015,Instagram,2023-10-31,"No cumple con lo anunciado, insatisfecho"
T0272,C010,P008,Twitter,2023-07-06,"Me encanta este producto, excelente calidad"
T0273,C014,P004,Facebook,2024-08-25,"Es lo que esperaba, nada excepcional"
T0274,C024,P019,Instagram,2023-06-20,Gran relación calidad-precio
T0275,C011,P015,Facebook,2025-08-12,"Muy mala calidad, se rompió rápido"
T0276,,P002,Twitter,2023-11-29,"No funciona como esperaba, decepcionado"
T0277,C005,P008,Twitter,2025-05-10,Satisface lo básico
T0278,C025,P005,Twitter,2023-12-17,Producto llegó rápido y funciona perfecto
T0279,C021,P003,Instagram,2023-07-18,"Información suficiente, sin mayor novedad"
T0280,C033,P001,Instagram,2023-10-26,Pésima atención al cliente
T0281,C010,P011,Instagram,2023-08-04,"Entrega correcta, sin comentarios adicionales"
T0282,,P012,Instagram,2025-03-17,"Muy satisfecho con la compra, lo recomiendo"
T0283,C030,P016,Instagram,2025-11-14,Envío tardío y producto dañado
T0284,C018,P008,Twitter,2024-02-08,Producto llegó rápido y funciona perfecto
T0285,C024,P019,Instagram,2025-02-20,Gran relación calidad-precio
T0286,,P007,Twitter,2024-12-17,Producto llegó rápido y funciona perfecto
T0287,C006,P013,Instagram,2025-02-05,"No cumple con lo anunciado, insatisfecho"
T0288,C012,P005,Facebook,2023-08-15,Satisface lo básico
T0289,C037,P010,Facebook,2023-09-19,"No cumple con lo anunciado, insatisfecho"
T0290,,P013,Twitter,2024-04-16,Satisface lo básico
T0291,,P002,Twitter,2024-07-09,Gran relación calidad-precio
T0292,C037,P013,Twitter,2024-05-21,Gran relación calidad-precio
T0293,C004,P019,Instagram,2024-11-03,Satisface lo básico
T0294,C016,P011,Instagram,2023-12-17,Gran relación calidad-precio
T0295,C026,P013,Facebook,2024-01-18,"No cumple con lo anunciado, insatisfecho"
T0296,C019,P003,Instagram,2023-01-03,"Entrega correcta, sin comentarios adicionales"
T0297,C018,P015,Instagram,2024-12-02,"Entrega correcta, sin comentarios adicionales"
T0298,C024,P019,Instagram,2025-08-12,Satisface lo básico
T0299,,P017,Instagram,2023-05-01,"Es lo que esperaba, nada excepcional"
T0300,C028,P003,Instagram,2025-11-26,"Entrega correcta, sin comentarios adicionales"
T0301,C040,P010,Twitter,2023-10-30,Envío tardío y producto dañado
T0302,C016,P014,Facebook,2024-12-11,Gran relación calidad-precio
T0303,C030,P014,Twitter,2025-09-27,Producto llegó rápido y funciona perfecto
T0304,C002,P013,Facebook,2024-08-22,"No cumple con lo anunciado, insatisfecho"
T0305,C026,P006,Instagram,2024-07-24,"No cumple con lo anunciado, insatisfecho"
T0306,C035,P001,Facebook,2023-05-02,Producto llegó rápido y funciona perfecto
T0307,C023,P013,Facebook,2023-11-23,"No funciona como esperaba, decepcionado"
T0308,C028,P014,Twitter,2024-05-28,"Producto recibido, cumple su función"
T0309,C019,P015,Facebook,2024-08-19,Envío tardío y producto dañado
T0310,C031,P010,Instagram,2023-09-06,"No cumple con lo anunciado, insatisfecho"
T0311,C015,P011,Instagram,2025-11-29,"Calidad superior, muy contento"
T0312,C012,P005,Twitter,2024-01-01,"No funciona como esperaba, decepcionado"
T0313,,P012,Facebook,2024-01-08,Gran relación calidad-precio
T0314,C004,P003,Instagram,2023-11-12,"Información suficiente, sin mayor novedad"
T0315,C036,P019,Facebook,2023-05-02,Gran relación calidad-precio
T0316,C039,P010,Instagram,2023-06-20,"Entrega correcta, sin comentarios adicionales"
T0317,C004,P007,Instagram,2024-10-31,"Calidad superior, muy contento"
T0318,C036,P005,Facebook,2024-11-23,Satisface lo básico
T0319,,P012,Facebook,2024-02-12,Gran relación calidad-precio
T0320,C029,P015,Facebook,2024-07-12,Pésima atención al cliente
T0321,C013,P011,Facebook,2023-05-03,Producto llegó rápido y funciona perfecto
T0322,C019,P005,Facebook,2024-03-01,"No cumple con lo anunciado, insatisfecho"
T0323,C010,P008,Instagram,2023-06-19,"Producto recibido, cumple su función"
T0324,C021,P008,Instagram,2023-03-07,"Producto recibido, cumple su función"
T0325,C011,P012,Instagram,2025-11-01,Envío tardío y producto dañado
T0326,C033,P007,Facebook,2024-02-22,"Calidad superior, muy contento"
T0327,C023,P017,Facebook,2025-09-01,"Calidad superior, muy contento"
T0328,C016,P003,Twitter,2024-06-10,Envío tardío y producto dañado
T0329,C035,P007,Facebook,2024-08-01,Pésima atención al cliente
T0330,C021,P001,Twitter,2024-12-16,"Información suficiente, sin mayor novedad"
T0331,C013,P012,Instagram,2024-07-16,Pésima atención al cliente
T0332,C025,P015,Facebook,2023-06-01,"Muy mala calidad, se rompió rápido"
T0333,C036,P005,Instagram,2023-01-13,"Calidad superior, muy contento"
T0334,,P015,Twitter,2023-08-19,Pésima atención al cliente
T0335,C017,P015,Facebook,2025-06-22,"Muy mala calidad, se rompió rápido"
T0336,C028,P019,Instagram,2024-10-26,"Me encanta este producto, excelente calidad"
T0337,,P017,Instagram,2024-09-26,"Me encanta este producto, excelente calidad"
T0338,C011,P015,Facebook,2025-08-03,"Muy mala calidad, se rompió rápido"
T0339,C010,P017,Instagram,2023-06-20,"Me encanta este producto, excelente calidad"
T0340,C013,P014,Instagram,2025-02-04,"Calidad superior, muy contento"
T0341,C028,P003,Facebook,2025-12-30,"Muy satisfecho con la compra, lo recomiendo"
T0342,,P013,Twitter,2024-10-12,Producto llegó rápido y funciona perfecto
T0343,C010,P008,Twitter,2023-05-18,Satisface lo básico
T0344,C014,P014,Instagram,2023-12-26,Satisface lo básico
T0345,C036,P013,Facebook,2023-11-21,"No funciona como esperaba, decepcionado"
T0346,C040,P013,Instagram,2024-04-17,"No cumple con lo anunciado, insatisfecho"
T0347,C022,P015,Instagram,2024-01-24,"Entrega correcta, sin comentarios adicionales"
T0348,C032,P013,Instagram,2024-09-11,"Muy mala calidad, se rompió rápido"
T0349,C008,P005,Facebook,2025-11-18,"No cumple con lo anunciado, insatisfecho"
T0350,C036,P004,Instagram,2024-01-04,"No funciona como esperaba, decepcionado"
T0351,C040,P013,Twitter,2023-07-06,"Me encanta este producto, excelente calidad"
T0352,C011,P005,Twitter,2023-01-14,Producto llegó rápido y funciona perfecto
T0353,C021,P016,Facebook,2023-04-04,"Producto recibido, cumple su función"
T0354,,P016,Facebook,2023-08-21,"Es lo que esperaba, nada excepcional"
T0355,,P008,Twitter,2023-01-10,"Entrega correcta, sin comentarios adicionales"
T0356,C011,P019,Facebook,2025-11-23,"No cumple con lo anunciado, insatisfecho"
T0357,C040,P014,Instagram,2024-05-06,Satisface lo básico
T0358,C011,P003,Instagram,2023-09-06,"Información suficiente, sin mayor novedad"
T0359,C017,P012,Instagram,2023-02-26,Pésima atención al cliente
T0360,C027,P005,Facebook,2023-08-17,Satisface lo básico
T0361,C019,P017,Instagram,2025-04-17,"Me encanta este producto, excelente calidad"
T0362,C028,P015,Facebook,2023-05-24,"Muy satisfecho con la compra, lo recomiendo"
T0363,C036,P002,Instagram,2023-02-17,"Me encanta este producto, excelente calidad"
T0364,C007,P011,Facebook,2023-07-09,"Muy satisfecho con la compra, lo recomiendo"
T0365,C025,P012,Instagram,2025-07-15,Pésima atención al cliente
T0366,C036,P010,Twitter,2024-02-25,"Producto recibido, cumple su función"
T0367,C022,P016,Instagram,2025-10-23,"Calidad superior, muy contento"
T0368,C024,P010,Instagram,2025-02-04,Gran relación calidad-precio
